# Table format: 2D
4
8
    0.00000000000000e+000     6.00000000000000e+002     3.00000000000000e+003     6.00000000000000e+003 
    2.00000000000000e+001     3.00000000000000e+001     4.00000000000000e+001     5.00000000000000e+001     6.00000000000000e+001     8.00000000000000e+001     9.00000000000000e+001     1.20000000000000e+002 
    0.00000000000000e+000     1.78000000000000e+000     1.88000000000000e+000     2.08000000000000e+000 
    0.00000000000000e+000     1.45000000000000e+000     1.55000000000000e+000     1.75000000000000e+000 
    0.00000000000000e+000     1.20000000000000e+000     1.30000000000000e+000     1.50000000000000e+000 
    0.00000000000000e+000     1.00000000000000e+000     1.10000000000000e+000     1.30000000000000e+000 
    0.00000000000000e+000     9.30000000000000e-001     1.03000000000000e+000     1.23000000000000e+000 
    0.00000000000000e+000     7.50000000000000e-001     8.50000000000000e-001     1.05000000000000e+000 
    0.00000000000000e+000     6.00000000000000e-001     7.00000000000000e-001     9.00000000000000e-001 
    0.00000000000000e+000     6.00000000000000e-001     7.00000000000000e-001     9.00000000000000e-001 
